index		properties.$latest_referrer_host
www.baidu.com	"'www.baidu.com',"	4522
	"'',"	2878
m.baidu.com	"'m.baidu.com',"	645
www.sogou.com	"'www.sogou.com',"	285
Direct	"'Direct',"	131
wap.sogou.com	"'wap.sogou.com',"	131
m.sogou.com	"'m.sogou.com',"	111
link.zhihu.com	"'link.zhihu.com',"	105
36kr.com	"'36kr.com',"	100
www.google.com.hk	"'www.google.com.hk',"	93
www.google.com	"'www.google.com',"	70
image.baidu.com	"'image.baidu.com',"	54
www.so.com	"'www.so.com',"	44
googleads.g.doubleclick.net	"'googleads.g.doubleclick.net',"	38
www.woshipm.com	"'www.woshipm.com',"	23
www.google.co.jp	"'www.google.co.jp',"	22
zhidao.baidu.com	"'zhidao.baidu.com',"	19
youxuan.baidu.com	"'youxuan.baidu.com',"	17
cn.bing.com	"'cn.bing.com',"	15
wenku.baidu.com	"'wenku.baidu.com',"	14
class.sanjieke.cn	"'class.sanjieke.cn',"	14
c.tieba.baidu.com	"'c.tieba.baidu.com',"	13
www.google.com.tw	"'www.google.com.tw',"	12
so.m.sm.cn	"'so.m.sm.cn',"	11
www.sanjieke.cn	"'www.sanjieke.cn',"	11
mp.weixinbridge.com	"'mp.weixinbridge.com',"	10
wapbaike.baidu.com	"'wapbaike.baidu.com',"	9
www.itjuzi.com	"'www.itjuzi.com',"	9
cpro.baidu.com	"'cpro.baidu.com',"	9
wisd.sogou.com	"'wisd.sogou.com',"	8
passport.36kr.com	"'passport.36kr.com',"	8
next.36kr.com	"'next.36kr.com',"	7
zhishi.sogou.com	"'zhishi.sogou.com',"	7
a.mobi.sogou.com	"'a.mobi.sogou.com',"	7
hippter.com	"'hippter.com',"	6
cn.mikecrm.com	"'cn.mikecrm.com',"	6
open.ezrpro.com	"'open.ezrpro.com',"	6
www.google.com.ph	"'www.google.com.ph',"	5
www.digitaling.com	"'www.digitaling.com',"	5
www.tongdao.io	"'www.tongdao.io',"	5
mail.qq.com	"'mail.qq.com',"	5
hr.36kr.com	"'hr.36kr.com',"	5
www.sdk.cn	"'www.sdk.cn',"	4
www.daxiangrenshi.com	"'www.daxiangrenshi.com',"	4
analytics.51credit.com	"'analytics.51credit.com',"	4
a.youdao.com	"'a.youdao.com',"	4
www.bing.com	"'www.bing.com',"	4
data.gotokeep.com	"'data.gotokeep.com',"	4
segmentfault.com	"'segmentfault.com',"	4
m5.baidu.com	"'m5.baidu.com',"	4
sawiki2.nie.netease.com	"'sawiki2.nie.netease.com',"	4
yandex.ru	"'yandex.ru',"	4
www.qichacha.com	"'www.qichacha.com',"	4
tower.im	"'tower.im',"	3
www.oneapm.com	"'www.oneapm.com',"	3
www.ecdaohang.cn	"'www.ecdaohang.cn',"	3
www.hippter.com	"'www.hippter.com',"	3
sensors.mu77.com	"'sensors.mu77.com',"	3
www.google.co.uk	"'www.google.co.uk',"	3
sensors.100.me	"'sensors.100.me',"	3
sc.vipkid.com.cn	"'sc.vipkid.com.cn',"	3
www.google.com.au	"'www.google.com.au',"	3
developer.51cto.com	"'developer.51cto.com',"	3
chuang.36kr.com	"'chuang.36kr.com',"	3
